,subject,bvp,time_elapsed
865,11,-18.38,13.515625
866,11,-20.78,13.53125
867,11,-23.27,13.546875
868,11,-26.1,13.5625
869,11,-29.48,13.578125
870,11,-33.56,13.59375
871,11,-38.35,13.609375
872,11,-43.72,13.625
873,11,-49.22,13.640625
874,11,-53.97,13.65625
875,11,-56.78,13.671875
876,11,-56.38,13.6875
877,11,-51.92,13.703125
878,11,-43.35,13.71875
879,11,-31.56,13.734375
880,11,-18.14,13.75
881,11,-4.87,13.765625
882,11,6.79,13.78125
883,11,16.07,13.796875
884,11,22.85,13.8125
885,11,27.49,13.828125
886,11,30.41,13.84375
887,11,31.93,13.859375
888,11,32.21,13.875
889,11,31.41,13.890625
890,11,29.77,13.90625
891,11,27.66,13.921875
892,11,25.47,13.9375
893,11,23.54,13.953125
894,11,22.0,13.96875
895,11,20.89,13.984375
896,11,20.18,14.0
897,11,19.88,14.015625
898,11,20.07,14.03125
899,11,20.81,14.046875
900,11,22.03,14.0625
901,11,23.5,14.078125
902,11,24.88,14.09375
903,11,25.79,14.109375
904,11,26.02,14.125
905,11,25.49,14.140625
906,11,24.32,14.15625
907,11,22.7,14.171875
908,11,20.81,14.1875
909,11,18.73,14.203125
910,11,16.52,14.21875
911,11,14.17,14.234375
912,11,11.69,14.25
913,11,9.11,14.265625
914,11,6.57,14.28125
915,11,4.18,14.296875
916,11,2.02,14.3125
917,11,0.11,14.328125
918,11,-1.64,14.34375
919,11,-3.38,14.359375
920,11,-5.24,14.375
921,11,-7.26,14.390625
922,11,-9.42,14.40625
923,11,-11.63,14.421875
924,11,-13.84,14.4375
925,11,-16.02,14.453125
926,11,-18.23,14.46875
927,11,-20.55,14.484375
928,11,-23.04,14.5
929,11,-25.78,14.515625
930,11,-28.87,14.53125
931,11,-32.39,14.546875
932,11,-36.28,14.5625
933,11,-40.22,14.578125
934,11,-43.49,14.59375
935,11,-45.05,14.609375
936,11,-43.83,14.625
937,11,-39.13,14.640625
938,11,-30.92,14.65625
939,11,-19.97,14.671875
940,11,-7.66,14.6875
941,11,4.44,14.703125
942,11,15.05,14.71875
943,11,23.47,14.734375
944,11,29.57,14.75
945,11,33.57,14.765625
946,11,35.8,14.78125
947,11,36.47,14.796875
948,11,35.76,14.8125
949,11,33.9,14.828125
950,11,31.32,14.84375
951,11,28.54,14.859375
952,11,26.09,14.875
953,11,24.28,14.890625
954,11,23.14,14.90625
955,11,22.44,14.921875
956,11,21.93,14.9375
957,11,21.5,14.953125
958,11,21.18,14.96875
959,11,21.07,14.984375
960,11,21.23,15.0
961,11,21.54,15.015625
962,11,21.79,15.03125
963,11,21.74,15.046875
964,11,21.26,15.0625
965,11,20.37,15.078125
966,11,19.17,15.09375
967,11,17.75,15.109375
968,11,16.18,15.125
969,11,14.39,15.140625
970,11,12.32,15.15625
971,11,9.94,15.171875
972,11,7.33,15.1875
973,11,4.7,15.203125
974,11,2.31,15.21875
975,11,0.33,15.234375
976,11,-1.29,15.25
977,11,-2.85,15.265625
978,11,-4.8,15.28125
979,11,-7.51,15.296875
980,11,-11.13,15.3125
981,11,-15.42,15.328125
982,11,-19.88,15.34375
983,11,-23.97,15.359375
984,11,-27.32,15.375
985,11,-29.91,15.390625
986,11,-31.99,15.40625
987,11,-34.04,15.421875
988,11,-36.59,15.4375
989,11,-40.01,15.453125
990,11,-44.47,15.46875
991,11,-49.81,15.484375
992,11,-55.48,15.5
993,11,-60.54,15.515625
994,11,-63.79,15.53125
995,11,-64.05,15.546875
996,11,-60.49,15.5625
997,11,-52.96,15.578125
998,11,-42.1,15.59375
999,11,-29.21,15.609375
1000,11,-15.83,15.625
1001,11,-3.34,15.640625
1002,11,7.37,15.65625
1003,11,15.96,15.671875
1004,11,22.53,15.6875
1005,11,27.35,15.703125
1006,11,30.7,15.71875
1007,11,32.78,15.734375
1008,11,33.78,15.75
1009,11,33.94,15.765625
1010,11,33.54,15.78125
1011,11,32.83,15.796875
1012,11,31.97,15.8125
1013,11,30.98,15.828125
1014,11,29.88,15.84375
1015,11,28.68,15.859375
1016,11,27.54,15.875
1017,11,26.69,15.890625
1018,11,26.33,15.90625
1019,11,26.53,15.921875
1020,11,27.16,15.9375
1021,11,27.97,15.953125
1022,11,28.64,15.96875
1023,11,28.91,15.984375
1024,11,28.59,16.0
